,n_orin,o_orin,sales_n,sales_o,week,pct_change
439,120507691,120498878,34.164763514135,599.1973908632909,2,-94.2982456140351
440,120507691,120498878,65.43866242322781,761.0858087456538,3,-91.40193370165746
441,120507691,120498878,63.86182718411389,848.0745527701052,4,-92.46978617911374
442,120507691,120498878,64.65024480367086,761.3486146188394,5,-91.50845702450812
443,120507691,120498878,60.44535083270039,555.3088100412867,6,-89.11500236630383
444,120507703,120498878,0.0,0.0,1,100.0
445,120507703,120498878,15.505546517953572,599.1973908632909,2,-97.41228070175438
446,120507703,120498878,39.68368685103373,761.0858087456538,3,-94.78591160220995
447,120507703,120498878,36.79282224599152,848.0745527701052,4,-95.66160520607376
448,120507703,120498878,28.908646050421915,761.3486146188394,5,-96.2029685881947
449,120507703,120498878,27.33181081130799,555.3088100412867,6,-95.07808802650261
450,120509291,120509670,0.0,0.0,1,100.0
451,120509291,120509670,2111.6451910467295,28.645840177236263,2,7271.5596330275275
452,120509291,120509670,2377.3419288374257,77.79053846295355,3,2956.081081081082
453,120509291,120509670,1643.5879309030797,1335.842253402679,4,23.037576234507174
454,120509291,120509670,1205.7533461757803,1704.5588934821512,5,-29.263028060437858
455,120509291,120509670,1124.2835254882275,2349.484506279746,6,-52.147651006711406
456,120536176,120509670,0.0,0.0,1,100.0
457,120536176,120509670,0.0,28.645840177236263,2,-100.0
458,120536176,120509670,0.0,77.79053846295355,3,-100.0
459,120536176,120509670,38.106851611919794,1335.842253402679,4,-97.14735392484752
460,120536176,120509670,62.81060369137127,1704.5588934821512,5,-96.31514030218933
461,120536176,120509670,73.32283861879743,2349.484506279746,6,-96.87919463087248
462,120513062,120492388,169.7725940779324,0.0,1,100.0
463,120513062,120492388,164.51647661421933,0.0,2,100.0
464,120513062,120492388,154.26704755997883,426.7967380535019,3,-63.85467980295566
465,120513062,120492388,130.0889072268987,1803.8995135463285,4,-92.78846153846153
466,120513062,120492388,114.58336070894511,897.4820569290081,5,-87.23279648609078
467,120513062,120492388,107.2247962597468,285.1443724064345,6,-62.3963133640553
468,120514081,120469567,0.0,2.628058731856532,1,-100.0
469,120514081,120469567,0.0,1.8396411122995637,2,-100.0
470,120514081,120469567,0.0,5.518923336898731,3,-100.0
471,120514081,120469567,0.0,2.628058731856532,4,-100.0
472,120514081,120469567,0.0,1.3140293659282587,5,-100.0
473,120514081,120469567,0.0,1.0512234927426098,6,-100.0
